event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3,attention_norm_entropy_mean_hop_4,attention_mae_from_baseline_hop_4,attention_max_abs_diff_from_baseline_hop_4,attention_cosine_to_baseline_hop_4
forward,100,val,0,0.00043199999999999993,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5053595900535583, 0.5311877131462097, 0.5219619274139404, 0.5220622420310974, 0.5047294497489929]",,,,0,,,0.5048128962516785,0.5354387164115906,0.5249204635620117,0.5240880250930786,0.5057603716850281,0.0009023000602610409,0.001464586821384728,0.0012259961804375052,0.000847730552777648,0.0005944329313933849,0.5053595900535583,0.5311877131462097,0.5219619274139404,0.5220622420310974,0.5047294497489929,,,,,0.9999971389770508,0.0008653354598209262,0.013070672750473022,0.9999855756759644,0.9999977946281433,0.000930671114474535,0.014422088861465454,0.9999845027923584,0.9999971389770508,0.0010679078986868262,0.018039822578430176,0.9999834299087524,0.9999984502792358,0.0011175518156960607,0.016743183135986328,0.9999870657920837
forward,100,test,0,0.00043199999999999993,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5053595900535583, 0.5311877131462097, 0.5219619274139404, 0.5220622420310974, 0.5047294497489929]",,,,0,,,0.5048128962516785,0.5354387164115906,0.5249204635620117,0.5240880250930786,0.5057603716850281,0.0009023000602610409,0.001464586821384728,0.0012259961804375052,0.000847730552777648,0.0005944329313933849,0.5053595900535583,0.5311877131462097,0.5219619274139404,0.5220622420310974,0.5047294497489929,,,,,0.9999971389770508,0.0008653354598209262,0.013070672750473022,0.9999855756759644,0.9999977946281433,0.000930671114474535,0.014422088861465454,0.9999845027923584,0.9999971389770508,0.0010679078986868262,0.018039822578430176,0.9999834299087524,0.9999984502792358,0.0011175518156960607,0.016743183135986328,0.9999870657920837
forward,150,train,0,5.5987199999999985e-05,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.505497932434082, 0.5325021147727966, 0.5233973264694214, 0.5234692692756653, 0.5061317086219788]",,,,0,,,0.5048834085464478,0.5366740226745605,0.5262866616249084,0.5254681706428528,0.5072246789932251,0.0016849711537361145,0.003139785025268793,0.002572971163317561,0.0018117559375241399,0.001150193391367793,0.505497932434082,0.5325021147727966,0.5233973264694214,0.5234692692756653,0.5061317086219788,,,,,,,,,,,,,,,,,,,,
backward,150,train,0,5.5987199999999985e-05,5,,,,,,,,,,,,0,0.020649825379783944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,5.5987199999999985e-05,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5054951906204224, 0.5325106382369995, 0.5234066843986511, 0.5234788060188293, 0.5061405897140503]",,,,0,,,0.5048940777778625,0.5366923213005066,0.5263400673866272,0.5255094170570374,0.5072394013404846,0.0008848450379446149,0.0014584447490051389,0.0012233937159180641,0.000850421201903373,0.0005795545293949544,0.5054951906204224,0.5325106382369995,0.5234066843986511,0.5234788060188293,0.5061405897140503,,,,,0.9999975562095642,0.0008684723288752139,0.01341170072555542,0.9999852776527405,0.9999980926513672,0.0009381737909279764,0.014686137437820435,0.999984085559845,0.9999974966049194,0.0010735185351222754,0.0176963210105896,0.9999842047691345,0.9999986886978149,0.0011287890374660492,0.017207324504852295,0.9999877214431763
forward,150,test,0,5.5987199999999985e-05,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5054951906204224, 0.5325106382369995, 0.5234066843986511, 0.5234788060188293, 0.5061405897140503]",,,,0,,,0.5048940777778625,0.5366923213005066,0.5263400673866272,0.5255094170570374,0.5072394013404846,0.0008848450379446149,0.0014584447490051389,0.0012233937159180641,0.000850421201903373,0.0005795545293949544,0.5054951906204224,0.5325106382369995,0.5234066843986511,0.5234788060188293,0.5061405897140503,,,,,0.9999975562095642,0.000868472270667553,0.01341170072555542,0.9999852776527405,0.9999980926513672,0.0009381737909279764,0.014686137437820435,0.999984085559845,0.9999974966049194,0.0010735184187069535,0.0176963210105896,0.9999842047691345,0.9999986886978149,0.0011287890374660492,0.017207324504852295,0.9999877214431763
forward,200,train,0,1e-05,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.505484402179718, 0.5326652526855469, 0.5235716700553894, 0.5236572623252869, 0.5063199996948242]",,,,0,,,0.504905104637146,0.5367175340652466,0.5264060497283936,0.5256335139274597,0.5074003338813782,0.0016373160760849714,0.0029200150165706873,0.0023297984153032303,0.00165895267855376,0.0011118700494989753,0.505484402179718,0.5326652526855469,0.5235716700553894,0.5236572623252869,0.5063199996948242,,,,,,,,,,,,,,,,,,,,
backward,200,train,0,1e-05,5,,,,,,,,,,,,0,0.01613261842901472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5054842829704285, 0.5326669216156006, 0.5235735177993774, 0.5236589908599854, 0.5063215494155884]",,,,0,,,0.5048728585243225,0.5368420481681824,0.5265063047409058,0.525693416595459,0.507431149482727,0.0008830830338411033,0.0014577008550986648,0.0012246140977367759,0.0008520249393768609,0.0005781815270893276,0.5054842829704285,0.5326669216156006,0.5235735177993774,0.5236589908599854,0.5063215494155884,,,,,0.9999975562095642,0.0008690686663612723,0.013406991958618164,0.9999855160713196,0.9999980926513672,0.0009391476050950587,0.014704495668411255,0.9999841451644897,0.999997615814209,0.001074089901521802,0.017676711082458496,0.999984622001648,0.9999986886978149,0.0011299105826765299,0.017269253730773926,0.9999873042106628
forward,200,test,0,1e-05,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5054842829704285, 0.5326669216156006, 0.5235735177993774, 0.5236589908599854, 0.5063215494155884]",,,,0,,,0.5048728585243225,0.5368420481681824,0.5265063047409058,0.525693416595459,0.507431149482727,0.0008830830338411033,0.0014577008550986648,0.0012246140977367759,0.0008520249393768609,0.0005781815270893276,0.5054842829704285,0.5326669216156006,0.5235735177993774,0.5236589908599854,0.5063215494155884,,,,,0.9999975562095642,0.0008690686663612723,0.013406991958618164,0.9999855160713196,0.9999980926513672,0.0009391476050950587,0.014704495668411255,0.9999841451644897,0.999997615814209,0.001074089901521802,0.017676711082458496,0.999984622001648,0.9999986886978149,0.0011299105826765299,0.017269253730773926,0.9999873042106628
