epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
0,train,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.5761169195175171,0.2119415551424026,0.2119415551424026,0.0,0.0,0.0
0,train,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.5761169195175171,0.2119415551424026,0.2119415551424026,0.0,0.0,0.0
0,train,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.5761169195175171,0.2119415551424026,0.2119415551424026,0.0,0.0,0.0
0,val,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.5781732201576233,0.2126865237951278,0.20914027094841,0.0058223200030624,0.0038539746310561,0.0037609618157148
0,val,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.5866737961769104,0.2060793191194534,0.2072469145059585,0.0092331515625119,0.0065090861171483,0.0063216588459908
0,val,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.5497907400131226,0.2250748723745346,0.2251343727111816,0.0110547710210084,0.0075831534340977,0.0060023176483809
0,test,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.5781732201576233,0.2126865237951278,0.20914027094841,0.0058223200030624,0.0038539746310561,0.0037609618157148
0,test,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.5866737961769104,0.2060793191194534,0.2072469145059585,0.0092331515625119,0.0065090861171483,0.0063216588459908
0,test,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.5497907400131226,0.2250748723745346,0.2251343727111816,0.0110547700896859,0.0075831529684364,0.0060023176483809
50,train,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.6554510593414307,0.1705494821071624,0.1739995032548904,0.0356744155287742,0.0214443802833557,0.0227248333394527
50,train,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.7792173624038696,0.1332991272211074,0.0874834954738617,0.1060418337583541,0.0595617219805717,0.0569410473108291
50,train,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.794084906578064,0.1017317175865173,0.1041834205389022,0.1317380517721176,0.0718113556504249,0.0686114579439163
50,val,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.6561980843544006,0.1702493876218795,0.1735525280237198,0.0356650464236736,0.0214181318879127,0.0226948224008083
50,val,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.8078081011772156,0.1205304041504859,0.0716614350676536,0.0554515346884727,0.0309175010770559,0.0278552733361721
50,val,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.8676857948303223,0.0634877756237983,0.0688264220952987,0.0711243897676467,0.0367324203252792,0.0369097851216793
50,test,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.6561980843544006,0.1702493876218795,0.1735525280237198,0.0356650464236736,0.0214181318879127,0.0226948224008083
50,test,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.8078081011772156,0.1205304041504859,0.0716614350676536,0.0554515346884727,0.0309175010770559,0.0278552733361721
50,test,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.8676857948303223,0.0634877756237983,0.0688264220952987,0.0711243897676467,0.0367324240505695,0.0369097851216793
100,train,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.6701033115386963,0.1647142618894577,0.165182426571846,0.0355032570660114,0.0210784431546926,0.0219200532883405
100,train,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.7809376120567322,0.1294947862625122,0.0895676761865615,0.106047049164772,0.057730246335268,0.058150015771389
100,train,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.803808331489563,0.0978553295135498,0.0983363687992096,0.1324195861816406,0.0722251087427139,0.0676073208451271
100,val,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.6701633334159851,0.1646868884563446,0.1651498228311538,0.035501405596733,0.0210752170532941,0.0219169240444898
100,val,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.8078827857971191,0.1184702292084693,0.073646992444992,0.0559714846312999,0.0309539921581745,0.0282499715685844
100,val,2,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",0.8744582533836365,0.0610028728842735,0.0645388141274452,0.0689246281981468,0.0362056121230125,0.0350469760596752
100,test,0,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.6701633334159851,0.1646868884563446,0.1651498228311538,0.035501405596733,0.0210752170532941,0.0219169240444898
100,test,1,3,,,,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",0.8078827857971191,0.1184702292084693,0.073646992444992,0.0559714883565902,0.0309539921581745,0.0282499715685844
