launch_id,dataset_name,model_name,trial_id,seed,params,best_val_metric,final_test_metric,best_epoch,metric_name,metric_direction,run_dir
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,13,13,"{""alpha"": 0.1, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 32, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 3}",0.632,0.591,11,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_013/seed_13/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,14,14,"{""alpha"": 1.0, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 32, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 25000, ""num_layers"": 3}",0.4,0.24,8,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_014/seed_14/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,15,15,"{""alpha"": 0.3, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2}",0.792,0.8,15,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_015/seed_15/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,16,16,"{""alpha"": 0.03, ""dropout"": 0.3, ""heads"": 4, ""hidden_channels"": 32, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 50000, ""num_layers"": 3}",0.774,0.735,263,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_016/seed_16/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,17,17,"{""alpha"": 0.3, ""dropout"": 0.3, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 50000, ""num_layers"": 2}",0.774,0.768,73,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_017/seed_17/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,18,18,"{""alpha"": 0.5, ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 64, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 2}",0.778,0.775,30,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_018/seed_18/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,19,19,"{""alpha"": 1.0, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 2}",0.804,0.787,130,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_019/seed_19/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,0,0,"{""alpha"": 0.05, ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""lambda_higher"": 0.1, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 50000, ""num_layers"": 3}",0.778,0.768,163,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_000/seed_0/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,1,1,"{""alpha"": 0.3, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.5, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 3}",0.774,0.761,31,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_001/seed_1/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,2,2,"{""alpha"": 1.0, ""dropout"": 0.3, ""heads"": 8, ""hidden_channels"": 64, ""lambda_higher"": 0.1, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 3}",0.762,0.747,97,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_002/seed_2/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,3,3,"{""alpha"": 0.5, ""dropout"": 0.3, ""heads"": 4, ""hidden_channels"": 64, ""lambda_higher"": 0.1, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 50000, ""num_layers"": 2}",0.796,0.752,35,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_003/seed_3/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,4,4,"{""alpha"": 0.3, ""dropout"": 0.3, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.1, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 25000, ""num_layers"": 3}",0.778,0.766,5,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_004/seed_4/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,5,5,"{""alpha"": 0.75, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 64, ""lambda_higher"": 0.0, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 3}",0.798,0.788,34,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_005/seed_5/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,6,6,"{""alpha"": 0.75, ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""lambda_higher"": 1.0, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 25000, ""num_layers"": 2}",0.674,0.655,5,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_006/seed_6/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,7,7,"{""alpha"": 0.3, ""dropout"": 0.3, ""heads"": 8, ""hidden_channels"": 64, ""lambda_higher"": 0.5, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 3}",0.568,0.391,4,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_007/seed_7/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,8,8,"{""alpha"": 0.75, ""dropout"": 0.3, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.0, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 3}",0.774,0.767,4,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_008/seed_8/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,9,9,"{""alpha"": 1.0, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 32, ""lambda_higher"": 0.25, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 3}",0.802,0.791,61,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_009/seed_9/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,10,10,"{""alpha"": 0.5, ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""lambda_higher"": 0.25, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 25000, ""num_layers"": 3}",0.76,0.771,8,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_010/seed_10/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,11,11,"{""alpha"": 0.5, ""dropout"": 0.3, ""heads"": 4, ""hidden_channels"": 64, ""lambda_higher"": 0.0, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2}",0.752,0.763,17,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_011/seed_11/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,12,12,"{""alpha"": 0.1, ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 64, ""lambda_higher"": 1.0, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2}",0.558,0.534,153,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_012/seed_12/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,13,13,"{""alpha"": 0.1, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 64, ""lambda_higher"": 0.25, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 50000, ""num_layers"": 2}",0.786,0.765,229,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_013/seed_13/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,14,14,"{""alpha"": 0.3, ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.5, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 50000, ""num_layers"": 3}",0.764,0.744,19,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_014/seed_14/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,15,15,"{""alpha"": 0.5, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.1, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 3}",0.78,0.792,60,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_015/seed_15/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,16,16,"{""alpha"": 0.03, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 32, ""lambda_higher"": 0.1, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 50000, ""num_layers"": 2}",0.78,0.791,23,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_016/seed_16/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,17,17,"{""alpha"": 0.05, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 64, ""lambda_higher"": 0.25, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 25000, ""num_layers"": 3}",0.748,0.758,138,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_017/seed_17/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,18,18,"{""alpha"": 0.03, ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.5, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 25000, ""num_layers"": 2}",0.718,0.692,270,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_018/seed_18/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v2,19,19,"{""alpha"": 0.75, ""dropout"": 0.3, ""heads"": 8, ""hidden_channels"": 32, ""lambda_higher"": 0.0, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 3}",0.744,0.729,251,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v2/hpo_trial_019/seed_19/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Citeseer,GLANT_v1,0,0,"{""alpha"": 0.05, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 64, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 25000, ""num_layers"": 2}",0.732,0.703,222,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Citeseer/GLANT_v1/hpo_trial_000/seed_0/run_0
