event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_mean_hop_5,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,weights_std_hop_5,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,hop_scalar_hop_5,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3,attention_norm_entropy_mean_hop_4,attention_mae_from_baseline_hop_4,attention_max_abs_diff_from_baseline_hop_4,attention_cosine_to_baseline_hop_4,attention_norm_entropy_mean_hop_5,attention_mae_from_baseline_hop_5,attention_max_abs_diff_from_baseline_hop_5,attention_cosine_to_baseline_hop_5
forward,0,train,0,0.002,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4950285255908966, 0.4968843460083008, 0.4985528290271759, 0.49478408694267273, 0.5022015571594238, 0.5016952753067017]",,,,0,,,0.4855389893054962,0.5033911466598511,0.5030477643013,0.5051286220550537,0.49599748849868774,0.5097314119338989,0.051983948796987534,0.05977952852845192,0.05301200598478317,0.052783578634262085,0.05122700706124306,0.0527009591460228,0.4950285255908966,0.4968843460083008,0.4985528290271759,0.49478408694267273,0.5022015571594238,0.5016952753067017,,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,0,0.002,6,,,,,,,,,,,,0,0.45236252259190673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.49452856183052063, 0.49738436937332153, 0.49805280566215515, 0.4952840507030487, 0.5027015805244446, 0.5011953115463257]",,,,0,,,0.48096194863319397,0.5160950422286987,0.49262067675590515,0.5087445974349976,0.5032069087028503,0.5072454810142517,0.029303820803761482,0.02457393705844879,0.024063682183623314,0.027017248794436455,0.02309216745197773,0.02689407952129841,0.49452856183052063,0.49738436937332153,0.49805280566215515,0.4952840507030487,0.5027015805244446,0.5011953115463257,0.9856416583061218,nan,nan,nan,0.9906733632087708,nan,nan,nan,0.9905062317848206,nan,nan,nan,0.9897050857543945,nan,nan,nan,0.9854651093482971,nan,nan,nan,0.9829311966896057,nan,nan,nan
forward,0,test,0,0.002,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.49452856183052063, 0.49738436937332153, 0.49805280566215515, 0.4952840507030487, 0.5027015805244446, 0.5011953115463257]",,,,0,,,0.48096194863319397,0.5160950422286987,0.49262067675590515,0.5087445974349976,0.5032069087028503,0.5072454810142517,0.029303820803761482,0.02457393705844879,0.024063682183623314,0.027017248794436455,0.02309216745197773,0.02689407952129841,0.49452856183052063,0.49738436937332153,0.49805280566215515,0.4952840507030487,0.5027015805244446,0.5011953115463257,0.9856416583061218,nan,nan,nan,0.9906733632087708,nan,nan,nan,0.9905062317848206,nan,nan,nan,0.9897050857543945,nan,nan,nan,0.9854651093482971,nan,nan,nan,0.9829311966896057,nan,nan,nan
forward,50,train,0,0.00043199999999999993,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.48942914605140686, 0.5006000399589539, 0.49703848361968994, 0.49415677785873413, 0.5029171705245972, 0.49626731872558594]",,,,0,,,0.36675575375556946,0.5736908316612244,0.49023574590682983,0.5187861323356628,0.5230013728141785,0.42113953828811646,0.11958690732717514,0.0973229929804802,0.09903674572706223,0.11797206103801727,0.09881071001291275,0.10154525190591812,0.48942914605140686,0.5006000399589539,0.49703848361968994,0.49415677785873413,0.5029171705245972,0.49626731872558594,,,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,0,0.00043199999999999993,6,,,,,,,,,,,,0,0.16948642197163882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00043199999999999993,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4893916845321655, 0.5005605220794678, 0.49703872203826904, 0.49413996934890747, 0.5029217600822449, 0.49622440338134766]",,,,0,,,0.35822975635528564,0.5795372128486633,0.4904806911945343,0.5215335488319397,0.5211877226829529,0.42003121972084045,0.09379579871892929,0.0743199810385704,0.08115246891975403,0.10536976158618927,0.07373125851154327,0.08894761651754379,0.4893916845321655,0.5005605220794678,0.49703872203826904,0.49413996934890747,0.5029217600822449,0.49622440338134766,0.9347014427185059,0.06904073059558868,0.7260397672653198,0.9734851121902466,0.9626229405403137,0.017741093412041664,0.5802926421165466,0.9750230312347412,0.952749490737915,0.022065168246626854,0.6917910575866699,0.9398871064186096,0.9511857032775879,0.03320125490427017,0.6736172437667847,0.9303212761878967,0.9514484405517578,0.046645939350128174,0.7822580337524414,0.9595323204994202,0.9380772113800049,0.05982710048556328,0.5536388158798218,0.9700071811676025
forward,50,test,0,0.00043199999999999993,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4893916845321655, 0.5005605220794678, 0.49703872203826904, 0.49413996934890747, 0.5029217600822449, 0.49622440338134766]",,,,0,,,0.35822975635528564,0.5795372128486633,0.4904806911945343,0.5215335488319397,0.5211877226829529,0.42003121972084045,0.09379579871892929,0.0743199810385704,0.08115246891975403,0.10536976158618927,0.07373125851154327,0.08894761651754379,0.4893916845321655,0.5005605220794678,0.49703872203826904,0.49413996934890747,0.5029217600822449,0.49622440338134766,0.9347014427185059,0.06904073059558868,0.7260397672653198,0.9734851121902466,0.9626229405403137,0.017741093412041664,0.5802926421165466,0.9750230312347412,0.952749490737915,0.022065168246626854,0.6917910575866699,0.9398871064186096,0.9511857032775879,0.03320125490427017,0.6736172437667847,0.9303212761878967,0.9514484405517578,0.046645939350128174,0.7822580337524414,0.9595323204994202,0.9380772113800049,0.05982710048556328,0.5536388158798218,0.9700071811676025
forward,100,train,0,3.359231999999999e-05,6,6,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.48882952332496643, 0.49970024824142456, 0.4970294237136841, 0.49392634630203247, 0.5027015209197998, 0.495963454246521]",,,,0,,,0.3521450161933899,0.5513383746147156,0.4911085069179535,0.5293810963630676,0.5143429636955261,0.42454788088798523,0.1103830337524414,0.09473191946744919,0.10028224438428879,0.1256500780582428,0.09920288622379303,0.11467266082763672,0.48882952332496643,0.49970024824142456,0.4970294237136841,0.49392634630203247,0.5027015209197998,0.495963454246521,,,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,0,3.359231999999999e-05,6,,,,,,,,,,,,0,0.214630277470918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
