epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_mean_hop_5,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,weights_std_hop_5,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,hop_scalar_hop_5
0,train,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4950285255908966, 0.4968843460083008, 0.4985528290271759, 0.49478408694267273, 0.5022015571594238, 0.5016952753067017]",0.4855389893054962,0.5033911466598511,0.5030477643013,0.5051286220550537,0.4959974884986877,0.5097314119338989,0.0519839487969875,0.0597795285284519,0.0530120059847831,0.052783578634262,0.051227007061243,0.0527009591460228,0.4950285255908966,0.4968843460083008,0.4985528290271759,0.4947840869426727,0.5022015571594238,0.5016952753067017
0,val,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.49452856183052063, 0.49738436937332153, 0.49805280566215515, 0.4952840507030487, 0.5027015805244446, 0.5011953115463257]",0.4809619486331939,0.5160950422286987,0.4926206767559051,0.5087445974349976,0.5032069087028503,0.5072454810142517,0.0293038208037614,0.0245739370584487,0.0240636821836233,0.0270172487944364,0.0230921674519777,0.0268940795212984,0.4945285618305206,0.4973843693733215,0.4980528056621551,0.4952840507030487,0.5027015805244446,0.5011953115463257
0,test,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.49452856183052063, 0.49738436937332153, 0.49805280566215515, 0.4952840507030487, 0.5027015805244446, 0.5011953115463257]",0.4809619486331939,0.5160950422286987,0.4926206767559051,0.5087445974349976,0.5032069087028503,0.5072454810142517,0.0293038208037614,0.0245739370584487,0.0240636821836233,0.0270172487944364,0.0230921674519777,0.0268940795212984,0.4945285618305206,0.4973843693733215,0.4980528056621551,0.4952840507030487,0.5027015805244446,0.5011953115463257
50,train,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.48942914605140686, 0.5006000399589539, 0.49703848361968994, 0.49415677785873413, 0.5029171705245972, 0.49626731872558594]",0.3667557537555694,0.5736908316612244,0.4902357459068298,0.5187861323356628,0.5230013728141785,0.4211395382881164,0.1195869073271751,0.0973229929804802,0.0990367457270622,0.1179720610380172,0.0988107100129127,0.1015452519059181,0.4894291460514068,0.5006000399589539,0.4970384836196899,0.4941567778587341,0.5029171705245972,0.4962673187255859
50,val,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4893916845321655, 0.5005605220794678, 0.49703872203826904, 0.49413996934890747, 0.5029217600822449, 0.49622440338134766]",0.3582297563552856,0.5795372128486633,0.4904806911945343,0.5215335488319397,0.5211877226829529,0.4200312197208404,0.0937957987189292,0.0743199810385704,0.081152468919754,0.1053697615861892,0.0737312585115432,0.0889476165175437,0.4893916845321655,0.5005605220794678,0.497038722038269,0.4941399693489074,0.5029217600822449,0.4962244033813476
50,test,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4893916845321655, 0.5005605220794678, 0.49703872203826904, 0.49413996934890747, 0.5029217600822449, 0.49622440338134766]",0.3582297563552856,0.5795372128486633,0.4904806911945343,0.5215335488319397,0.5211877226829529,0.4200312197208404,0.0937957987189292,0.0743199810385704,0.081152468919754,0.1053697615861892,0.0737312585115432,0.0889476165175437,0.4893916845321655,0.5005605220794678,0.497038722038269,0.4941399693489074,0.5029217600822449,0.4962244033813476
100,train,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.48882952332496643, 0.49970024824142456, 0.4970294237136841, 0.49392634630203247, 0.5027015209197998, 0.495963454246521]",0.3521450161933899,0.5513383746147156,0.4911085069179535,0.5293810963630676,0.5143429636955261,0.4245478808879852,0.1103830337524414,0.0947319194674491,0.1002822443842887,0.1256500780582428,0.099202886223793,0.1146726608276367,0.4888295233249664,0.4997002482414245,0.4970294237136841,0.4939263463020324,0.5027015209197998,0.495963454246521
100,val,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4888284504413605, 0.4996951222419739, 0.49702882766723633, 0.4939267635345459, 0.5026988983154297, 0.49596118927001953]",0.3479013442993164,0.5587238073348999,0.4932600259780884,0.5242206454277039,0.5159181952476501,0.4177819788455963,0.0961828157305717,0.074851706624031,0.0839108824729919,0.1090869978070259,0.0777383893728256,0.0919863581657409,0.4888284504413605,0.4996951222419739,0.4970288276672363,0.4939267635345459,0.5026988983154297,0.4959611892700195
100,test,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.4888284504413605, 0.4996951222419739, 0.49702882766723633, 0.4939267635345459, 0.5026988983154297, 0.49596118927001953]",0.3479013442993164,0.5587238073348999,0.4932600259780884,0.5242206454277039,0.5159181952476501,0.4177819788455963,0.0961828157305717,0.074851706624031,0.0839108824729919,0.1090869978070259,0.0777383893728256,0.0919863581657409,0.4888284504413605,0.4996951222419739,0.4970288276672363,0.4939267635345459,0.5026988983154297,0.4959611892700195
150,train,0,6,,,,"[183, 6]",6.0,"[""hop_1"", ""hop_2"", ""hop_3"", ""hop_4"", ""hop_5"", ""hop_6""]","[183, 6]",,"[183, 6, 32]","[false, false, false, false, false, false]","[0.48879706859588623, 0.49956491589546204, 0.4970170557498932, 0.4939432144165039, 0.5026566982269287, 0.4959035813808441]",0.3502117097377777,0.548224925994873,0.4962189793586731,0.5247184634208679,0.5177332758903503,0.4152871966361999,0.1129636615514755,0.0985784754157066,0.102582037448883,0.1264320313930511,0.0880853533744812,0.1109341979026794,0.4887970685958862,0.499564915895462,0.4970170557498932,0.4939432144165039,0.5026566982269287,0.4959035813808441
