epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.949999988079071, 0.800000011920929, 0.800000011920929]",0.9499999284744264,0.7999999523162842,0.7999999523162842,0.0,0.0,0.0,0.949999988079071,0.800000011920929,0.800000011920929
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9498573541641235, 0.7995195388793945, 0.7995195388793945]",0.949857234954834,0.7995195388793945,0.7995195388793945,0.0,0.0,0.0,0.9498573541641236,0.7995195388793945,0.7995195388793945
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9498573541641235, 0.7995195388793945, 0.7995195388793945]",0.949857234954834,0.7995195388793945,0.7995195388793945,0.0,0.0,0.0,0.9498573541641236,0.7995195388793945,0.7995195388793945
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9433366656303406, 0.7843892574310303, 0.7877402305603027]",0.9433366656303406,0.7843893766403198,0.7877402901649475,0.0,0.0,0.0,0.9433366656303406,0.7843892574310303,0.7877402305603027
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9432826638221741, 0.7842759490013123, 0.7876079678535461]",0.9432827234268188,0.7842759490013123,0.7876079082489014,0.0,0.0,0.0,0.943282663822174,0.7842759490013123,0.7876079678535461
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9432826638221741, 0.7842759490013123, 0.7876079678535461]",0.9432827234268188,0.7842759490013123,0.7876079082489014,0.0,0.0,0.0,0.943282663822174,0.7842759490013123,0.7876079678535461
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9419904947280884, 0.7817239761352539, 0.7849925756454468]",0.9419904351234436,0.7817238569259644,0.784992516040802,0.0,0.0,0.0,0.9419904947280884,0.7817239761352539,0.7849925756454468
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9419829845428467, 0.7817105650901794, 0.7849759459495544]",0.9419830441474916,0.781710684299469,0.7849760055541992,0.0,0.0,0.0,0.9419829845428468,0.7817105650901794,0.7849759459495544
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9419829845428467, 0.7817105650901794, 0.7849759459495544]",0.9419830441474916,0.781710684299469,0.7849760055541992,0.0,0.0,0.0,0.9419829845428468,0.7817105650901794,0.7849759459495544
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9418510794639587, 0.7814204096794128, 0.7847212553024292]",0.9418510794639589,0.7814203500747681,0.7847212553024292,0.0,0.0,0.0,0.9418510794639589,0.7814204096794128,0.7847212553024292
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9418504238128662, 0.7814192175865173, 0.7847196459770203]",0.9418505430221558,0.7814192175865173,0.7847195863723755,0.0,0.0,0.0,0.9418504238128662,0.7814192175865173,0.7847196459770203
150,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9418504238128662, 0.7814192175865173, 0.7847196459770203]",0.9418505430221558,0.7814192175865173,0.7847195863723755,0.0,0.0,0.0,0.9418504238128662,0.7814192175865173,0.7847196459770203
200,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9418237805366516, 0.7813624739646912, 0.7846529483795166]",0.9418237209320068,0.7813624739646912,0.784652829170227,0.0,0.0,0.0,0.9418237805366516,0.7813624739646912,0.7846529483795166
200,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9418233036994934, 0.7813612222671509, 0.7846516370773315]",0.9418233633041382,0.7813612222671509,0.784651517868042,0.0,0.0,0.0,0.9418233036994934,0.7813612222671509,0.7846516370773315
200,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9418233036994934, 0.7813612222671509, 0.7846516370773315]",0.9418233633041382,0.7813612222671509,0.784651517868042,0.0,0.0,0.0,0.9418233036994934,0.7813612222671509,0.7846516370773315
250,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9417965412139893, 0.7813106179237366, 0.7845850586891174]",0.9417964220046996,0.7813105583190918,0.7845849990844727,0.0,0.0,0.0,0.9417965412139891,0.7813106179237366,0.7845850586891174
250,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9417960047721863, 0.7813094854354858, 0.7845834493637085]",0.9417958855628968,0.7813094258308411,0.7845834493637085,0.0,0.0,0.0,0.9417960047721864,0.7813094854354858,0.7845834493637085
250,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9417960047721863, 0.7813094854354858, 0.7845834493637085]",0.9417958855628968,0.7813094258308411,0.7845834493637085,0.0,0.0,0.0,0.9417960047721864,0.7813094854354858,0.7845834493637085
300,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.941769003868103, 0.7812535166740417, 0.7845203876495361]",0.941769003868103,0.7812533974647522,0.7845204472541809,0.0,0.0,0.0,0.941769003868103,0.7812535166740417,0.7845203876495361
300,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9417685270309448, 0.7812525033950806, 0.7845192551612854]",0.9417684674263,0.7812525033950806,0.784519374370575,0.0,0.0,0.0,0.9417685270309448,0.7812525033950806,0.7845192551612854
300,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9417685270309448, 0.7812525033950806, 0.7845192551612854]",0.9417684674263,0.7812525033950806,0.784519374370575,0.0,0.0,0.0,0.9417685270309448,0.7812525033950806,0.7845192551612854
