event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_std_hop_0,hop_scalar_hop_0,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0
forward,200,train,0,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],,,,0,,,1.0,0.0,1.0,,,,
forward,200,train,1,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 7]",[false],[1.0],,,,0,,,1.0,0.0,1.0,,,,
backward,200,train,0,1e-05,1,,,,,,,,,,,,0,,,,,,,,,
backward,200,train,1,1e-05,1,,,,,,,,,,,,0,,,,,,,,,
forward,200,val,0,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.9999876022338867,0.0009195797611027956,0.018891185522079468,0.9999839663505554
forward,200,val,1,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 7]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.9809386730194092,0.041350867599248886,0.5373886227607727,0.9659019112586975
forward,200,test,0,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.9999876022338867,0.0009195797611027956,0.018891185522079468,0.9999839663505554
forward,200,test,1,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 7]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.9809386730194092,0.041350867599248886,0.5373885631561279,0.9659019112586975
forward,250,train,0,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],,,,0,,,1.0,0.0,1.0,,,,
forward,250,train,1,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 7]",[false],[1.0],,,,0,,,1.0,0.0,1.0,,,,
backward,250,train,0,1e-05,1,,,,,,,,,,,,0,,,,,,,,,
backward,250,train,1,1e-05,1,,,,,,,,,,,,0,,,,,,,,,
forward,250,val,0,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.9999877214431763,0.0009192005381919444,0.01886826753616333,0.9999839067459106
forward,250,val,1,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 7]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.980951189994812,0.04128639027476311,0.5346326231956482,0.966022789478302
forward,250,test,0,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.9999877214431763,0.0009192005963996053,0.01886826753616333,0.9999839663505554
forward,250,test,1,1e-05,1,1,"[""hop_1""]","[2708, 1]","[2708, 1]",,"[2708, 1, 7]",[false],[1.0],,,,0,,,1.0,0.0,1.0,0.980951189994812,0.04128638654947281,0.5346325635910034,0.9660228490829468
