epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5072200298309326, 0.4990837574005127, 0.503652036190033]",,0.5077745914459229,0.499867171049118,0.5023708343505859,,0.0025833966210484,0.0031008992809802,0.0028502885252237,,0.5072200298309326,0.4990837574005127,0.503652036190033
0,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5059702396392822, 0.5003337860107422, 0.5024021863937378]",,0.5055022835731506,0.5016241669654846,0.5009845495223999,,0.0022194425109773,0.0026029092259705,0.0022039795294404,,0.5059702396392822,0.5003337860107422,0.5024021863937378
0,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5059702396392822, 0.5003337860107422, 0.5024021863937378]",,0.5055022835731506,0.5016241669654846,0.5009845495223999,,0.0022194425109773,0.0026029092259705,0.0022039795294404,,0.5059702396392822,0.5003337860107422,0.5024021863937378
50,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5129199028015137, 0.5013587474822998, 0.48795557022094727]",,0.5159353017807007,0.504966139793396,0.4781404733657837,,0.0037532825954258,0.0044760834425687,0.0064603476785123,,0.5129199028015137,0.5013587474822998,0.4879555702209472
50,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.512834370136261, 0.5015252828598022, 0.4879547655582428]",,0.5157546997070312,0.5052292346954346,0.478205144405365,,0.0032371112611144,0.003857199801132,0.0052051055245101,,0.512834370136261,0.5015252828598022,0.4879547655582428
50,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.512834370136261, 0.5015252828598022, 0.4879547655582428]",,0.5157546997070312,0.5052292346954346,0.478205144405365,,0.0032371112611144,0.003857199801132,0.0052051055245101,,0.512834370136261,0.5015252828598022,0.4879547655582428
100,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5113315582275391, 0.504962146282196, 0.4879927337169647]",,0.5133025050163269,0.5106512904167175,0.4783447086811065,,0.0038803401403129,0.0052748038433492,0.0071642519906163,,0.5113315582275391,0.504962146282196,0.4879927337169647
100,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5113272666931152, 0.5049808621406555, 0.4879932999610901]",,0.513293445110321,0.510708212852478,0.4783405363559723,,0.0034359651617705,0.0045085549354553,0.005914956331253,,0.5113272666931152,0.5049808621406555,0.4879932999610901
100,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5113272666931152, 0.5049808621406555, 0.4879932999610901]",,0.513293445110321,0.510708212852478,0.4783405363559723,,0.0034359651617705,0.0045085549354553,0.005914956331253,,0.5113272666931152,0.5049808621406555,0.4879932999610901
150,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112690925598145, 0.5052969455718994, 0.4880021810531616]",,0.5132260322570801,0.5111966729164124,0.4783510863780975,,0.0039545092731714,0.0054282345809042,0.0072923307307064,,0.5112690925598145,0.5052969455718994,0.4880021810531616
150,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112689733505249, 0.5052984356880188, 0.4880022704601288]",,0.5132335424423218,0.5112013220787048,0.4783229231834411,,0.0035150279290974,0.0045663630589842,0.0060495841316878,,0.5112689733505249,0.5052984356880188,0.4880022704601288
150,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112689733505249, 0.5052984356880188, 0.4880022704601288]",,0.5132335424423218,0.5112013220787048,0.4783229231834411,,0.0035150279290974,0.0045663630589842,0.0060495841316878,,0.5112689733505249,0.5052984356880188,0.4880022704601288
200,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112593173980713, 0.5053752660751343, 0.488003134727478]",,0.5132287740707397,0.5113621950149536,0.47824627161026,,0.0040034474804997,0.0054879481904208,0.007335630711168,,0.5112593173980713,0.5053752660751343,0.488003134727478
200,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112591981887817, 0.5053768157958984, 0.48800307512283325]",,0.5132290124893188,0.5113204717636108,0.4783130288124084,,0.0035364583600312,0.0045794732868671,0.0060827638953924,,0.5112591981887817,0.5053768157958984,0.4880030751228332
200,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112591981887817, 0.5053768157958984, 0.48800307512283325]",,0.5132290124893188,0.5113204717636108,0.4783130288124084,,0.0035364583600312,0.0045794732868671,0.0060827638953924,,0.5112591981887817,0.5053768157958984,0.4880030751228332
250,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112495422363281, 0.505456805229187, 0.4880053997039795]",,0.5132099986076355,0.5114442706108093,0.4782837629318237,,0.0040513128042221,0.005465839523822,0.0074070179834961,,0.5112495422363281,0.505456805229187,0.4880053997039795
250,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.511249303817749, 0.5054585933685303, 0.48800551891326904]",,0.513226330280304,0.5114443898200989,0.4783022999763489,,0.0035592182539403,0.0045912647619843,0.0061171040870249,,0.511249303817749,0.5054585933685303,0.488005518913269
250,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.511249303817749, 0.5054585933685303, 0.48800551891326904]",,0.513226330280304,0.5114443898200989,0.4783022999763489,,0.0035592182539403,0.0045912647619843,0.0061171040870249,,0.511249303817749,0.5054585933685303,0.488005518913269
300,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112402439117432, 0.5055460333824158, 0.4880068898200989]",,0.5132290124893188,0.5115377306938171,0.4782997369766235,,0.0040617333725094,0.005483862478286,0.0074077323079109,,0.5112402439117432,0.5055460333824158,0.4880068898200989
300,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112399458885193, 0.5055477619171143, 0.4880068898200989]",,0.5132267475128174,0.5115783214569092,0.4782886803150177,,0.0035822007339447,0.0046032923273742,0.0061532105319201,,0.5112399458885193,0.5055477619171143,0.4880068898200989
300,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112399458885193, 0.5055477619171143, 0.4880068898200989]",,0.5132267475128174,0.5115783214569092,0.4782886803150177,,0.0035822007339447,0.0046032923273742,0.0061532105319201,,0.5112399458885193,0.5055477619171143,0.4880068898200989
350,train,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112326145172119, 0.5056368112564087, 0.4880075752735138]",,0.5132113695144653,0.5116561651229858,0.4783217012882232,,0.0040415315888822,0.0054854387417435,0.0074373111128807,,0.5112326145172119,0.5056368112564087,0.4880075752735138
350,val,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112325549125671, 0.5056385397911072, 0.48800766468048096]",,0.5132318139076233,0.5117144584655762,0.4782728850841522,,0.0036072544753551,0.0046156118623912,0.0061905924230813,,0.5112325549125671,0.5056385397911072,0.4880076646804809
350,test,0,3,,,,"[7600, 3]",3.0,"[""hop_1"", ""hop_2"", ""hop_3""]","[7600, 3]",,"[7600, 3, 128]","[false, false, false]","[0.5112325549125671, 0.5056385397911072, 0.48800766468048096]",,0.5132318139076233,0.5117144584655762,0.4782728850841522,,0.0036072544753551,0.0046156118623912,0.0061905924230813,,0.5112325549125671,0.5056385397911072,0.4880076646804809
