event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,100,test,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.4725198745727539,0.5274801254272461,,0.006433070637285709,0.006433069705963135,,,,,,,,,,,,
forward,150,train,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.2909199297428131,0.7090801000595093,,0.001082767266780138,0.001082767266780138,,,,,,,,,,,,
forward,150,train,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.4216338098049164,0.578366219997406,,0.004636873956769705,0.004636874422430992,,,,,,,,,,,,
backward,150,train,0,0.005,3,,,,,,0.25,0.75,0.25,0,0.004597668463707496,,,,,,,,,,,,,,,,,,,
backward,150,train,1,0.005,3,,,,,,0.25,0.75,0.25,0,0.002680566167476546,,,,,,,,,,,,,,,,,,,
forward,150,val,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.28914156556129456,0.7108584046363831,,0.0010671879863366485,0.0010671906638890505,,,,,,,,,,,,
forward,150,val,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.4205746054649353,0.5794253945350647,,0.002895299345254898,0.0028952991124242544,,,,,,,,,,,,
forward,150,test,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.28914156556129456,0.7108584046363831,,0.0010671879863366485,0.0010671906638890505,,,,,,,,,,,,
forward,150,test,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.4205746054649353,0.5794253945350647,,0.002895299345254898,0.0028952991124242544,,,,,,,,,,,,
forward,200,train,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.24551990628242493,0.7544801235198975,,0.0008640087908133864,0.0008640072774142027,,,,,,,,,,,,
forward,200,train,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.39819490909576416,0.6018050909042358,,0.017673516646027565,0.017673518508672714,,,,,,,,,,,,
backward,200,train,0,0.005,3,,,,,,0.25,0.75,0.25,0,0.0038461189976281493,,,,,,,,,,,,,,,,,,,
backward,200,train,1,0.005,3,,,,,,0.25,0.75,0.25,0,0.0034842970053449987,,,,,,,,,,,,,,,,,,,
forward,200,val,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.24477717280387878,0.7552228569984436,,0.00084657286060974,0.0008465716964565217,,,,,,,,,,,,
forward,200,val,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.39799317717552185,0.6020068526268005,,0.01535835862159729,0.015358359552919865,,,,,,,,,,,,
forward,200,test,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.24477717280387878,0.7552228569984436,,0.00084657286060974,0.0008465716964565217,,,,,,,,,,,,
forward,200,test,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.39799317717552185,0.6020068526268005,,0.01535835862159729,0.015358359552919865,,,,,,,,,,,,
forward,250,train,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.23658016324043274,0.7634198069572449,,0.0008502966957166791,0.0008502979762852192,,,,,,,,,,,,
forward,250,train,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.3663817346096039,0.6336182355880737,,0.011492054909467697,0.011492053046822548,,,,,,,,,,,,
backward,250,train,0,0.005,3,,,,,,0.25,0.75,0.25,0,0.0025633660318494177,,,,,,,,,,,,,,,,,,,
backward,250,train,1,0.005,3,,,,,,0.25,0.75,0.25,0,0.003303153761431457,,,,,,,,,,,,,,,,,,,
forward,250,val,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.23587140440940857,0.7641286253929138,,0.0008545623277314007,0.0008545635500922799,,,,,,,,,,,,
forward,250,val,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.36497312784194946,0.6350268721580505,,0.00944069679826498,0.009440699592232704,,,,,,,,,,,,
forward,250,test,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.23587140440940857,0.7641286253929138,,0.0008545623277314007,0.0008545635500922799,,,,,,,,,,,,
forward,250,test,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.36497312784194946,0.6350268721580505,,0.00944069679826498,0.009440699592232704,,,,,,,,,,,,
