event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,100,test,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.2564990520477295,0.7435008883476257,,0.011759764514863491,0.011759762652218342,,,,,,,,,,,,
forward,150,train,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8461569547653198,0.1538430005311966,,0.009791983291506767,0.009791984222829342,,,,,,,,,,,,
forward,150,train,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.22674764692783356,0.7732523083686829,,0.041972629725933075,0.04197263717651367,,,,,,,,,,,,
backward,150,train,0,0.005,3,,,,,,1.0,0.0,1.0,0,0.01951434777072481,,,,,,,,,,,,,,,,,,,
backward,150,train,1,0.005,3,,,,,,1.0,0.0,1.0,0,0.00817725256338732,,,,,,,,,,,,,,,,,,,
forward,150,val,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8472995758056641,0.15270033478736877,,0.009738844819366932,0.009738842956721783,,,,,,,,,,,,
forward,150,val,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.2266758680343628,0.7733241319656372,,0.038982540369033813,0.03898254409432411,,,,,,,,,,,,
forward,150,test,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8472995758056641,0.15270033478736877,,0.009738844819366932,0.009738842956721783,,,,,,,,,,,,
forward,150,test,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.2266758680343628,0.7733241319656372,,0.038982540369033813,0.03898254409432411,,,,,,,,,,,,
forward,200,train,0,0.003,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8981066942214966,0.10189324617385864,,0.006641385145485401,0.0066413842141628265,,,,,,,,,,,,
forward,200,train,1,0.003,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.19626285135746002,0.8037371635437012,,0.05402512475848198,0.05402512475848198,,,,,,,,,,,,
backward,200,train,0,0.003,3,,,,,,1.0,0.0,1.0,0,0.014125889330694556,,,,,,,,,,,,,,,,,,,
backward,200,train,1,0.003,3,,,,,,1.0,0.0,1.0,0,0.019211137929196,,,,,,,,,,,,,,,,,,,
forward,200,val,0,0.003,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8987550139427185,0.10124499350786209,,0.006596290972083807,0.00659629050642252,,,,,,,,,,,,
forward,200,val,1,0.003,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.19510619342327118,0.8048937320709229,,0.04840916767716408,0.04840916767716408,,,,,,,,,,,,
forward,200,test,0,0.003,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8987550139427185,0.10124499350786209,,0.006596290972083807,0.00659629050642252,,,,,,,,,,,,
forward,200,test,1,0.003,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.19510619342327118,0.8048937320709229,,0.04840916767716408,0.04840916767716408,,,,,,,,,,,,
forward,250,train,0,0.00108,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.9132349491119385,0.08676502108573914,,0.005668157245963812,0.005668157245963812,,,,,,,,,,,,
forward,250,train,1,0.00108,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.19400139153003693,0.8059985041618347,,0.059345412999391556,0.059345412999391556,,,,,,,,,,,,
backward,250,train,0,0.00108,3,,,,,,1.0,0.0,1.0,0,0.021351727629368565,,,,,,,,,,,,,,,,,,,
backward,250,train,1,0.00108,3,,,,,,1.0,0.0,1.0,0,0.014469631278628516,,,,,,,,,,,,,,,,,,,
forward,250,val,0,0.00108,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.9134133458137512,0.08658657968044281,,0.005658015143126249,0.005658015143126249,,,,,,,,,,,,
forward,250,val,1,0.00108,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.19211316108703613,0.8078868985176086,,0.052730102092027664,0.052730102092027664,,,,,,,,,,,,
forward,250,test,0,0.00108,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.9134133458137512,0.08658657968044281,,0.005658015143126249,0.005658015143126249,,,,,,,,,,,,
forward,250,test,1,0.00108,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.19211316108703613,0.8078868985176086,,0.052730102092027664,0.052730102092027664,,,,,,,,,,,,
