event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3,attention_norm_entropy_mean_hop_4,attention_mae_from_baseline_hop_4,attention_max_abs_diff_from_baseline_hop_4,attention_cosine_to_baseline_hop_4
forward,0,train,0,0.005,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.4937190115451813, 0.5025230050086975, 0.500633716583252, 0.5063512325286865, 0.4951307475566864]",,,,0,,,0.49390339851379395,0.5016531944274902,0.5018172264099121,0.5069549679756165,0.49492165446281433,0.003253459930419922,0.003131783800199628,0.003064162563532591,0.0024886082392185926,0.002995396964251995,0.4937190115451813,0.5025230050086975,0.500633716583252,0.5063512325286865,0.4951307475566864,,,,,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,5,,,,,,,,,,,,0,0.0036661615075591725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.4924694299697876, 0.501272976398468, 0.49938374757766724, 0.5051013827323914, 0.49638062715530396]",,,,0,,,0.4930136501789093,0.5001176595687866,0.5001345872879028,0.5051901340484619,0.4963606894016266,0.0027678925544023514,0.0029100992251187563,0.0024329274892807007,0.002092813840135932,0.0026557696983218193,0.4924694299697876,0.501272976398468,0.49938374757766724,0.5051013827323914,0.49638062715530396,,,,,0.9999434351921082,nan,nan,nan,0.9999226927757263,nan,nan,nan,0.9999022483825684,nan,nan,nan,0.9999289512634277,nan,nan,nan
forward,0,test,0,0.005,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.4924694299697876, 0.501272976398468, 0.49938374757766724, 0.5051013827323914, 0.49638062715530396]",,,,0,,,0.4930136501789093,0.5001176595687866,0.5001345872879028,0.5051901340484619,0.4963606894016266,0.0027678925544023514,0.0029100992251187563,0.0024329274892807007,0.002092813840135932,0.0026557696983218193,0.4924694299697876,0.501272976398468,0.49938374757766724,0.5051013827323914,0.49638062715530396,,,,,0.9999434351921082,nan,nan,nan,0.9999226927757263,nan,nan,nan,0.9999022483825684,nan,nan,nan,0.9999289512634277,nan,nan,nan
forward,50,train,0,0.00108,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5176909565925598, 0.49493157863616943, 0.4847295880317688, 0.5012072324752808, 0.4850628972053528]",,,,0,,,0.529414176940918,0.4900304079055786,0.4816645085811615,0.5010260343551636,0.4792550206184387,0.006685701664537191,0.004148715175688267,0.004489675629884005,0.003907044883817434,0.004121181555092335,0.5176909565925598,0.49493157863616943,0.4847295880317688,0.5012072324752808,0.4850628972053528,,,,,,,,,,,,,,,,,,,,
backward,50,train,0,0.00108,5,,,,,,,,,,,,0,0.0145824648897445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00108,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5176472067832947, 0.49483388662338257, 0.4849568009376526, 0.5013144612312317, 0.48511767387390137]",,,,0,,,0.5292714834213257,0.4898875951766968,0.4820725917816162,0.5012032985687256,0.47936883568763733,0.005339430645108223,0.003581743687391281,0.003879330586642027,0.003524372586980462,0.003304428420960903,0.5176472067832947,0.49483388662338257,0.4849568009376526,0.5013144612312317,0.48511767387390137,,,,,0.9999728798866272,0.001036445377394557,0.02947235107421875,0.9999830722808838,0.9999690651893616,0.001974420389160514,0.03146061301231384,0.9999715089797974,0.9999718070030212,0.001414821483194828,0.0207521915435791,0.9999939799308777,0.999984860420227,0.0003433633246459067,0.016110271215438843,0.9999987483024597
forward,50,test,0,0.00108,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5176472067832947, 0.49483388662338257, 0.4849568009376526, 0.5013144612312317, 0.48511767387390137]",,,,0,,,0.5292714834213257,0.4898875951766968,0.4820725917816162,0.5012032985687256,0.47936883568763733,0.005339430645108223,0.003581743687391281,0.003879330586642027,0.003524372586980462,0.003304428420960903,0.5176472067832947,0.49483388662338257,0.4849568009376526,0.5013144612312317,0.48511767387390137,,,,,0.9999728798866272,0.001036445377394557,0.02947235107421875,0.9999830722808838,0.9999690651893616,0.001974420389160514,0.03146061301231384,0.9999715089797974,0.9999718070030212,0.001414821483194828,0.0207521915435791,0.9999939799308777,0.999984860420227,0.0003433633246459067,0.016110271215438843,0.9999987483024597
forward,100,train,0,0.000139968,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5171205401420593, 0.49357736110687256, 0.48960453271865845, 0.5033825039863586, 0.48628732562065125]",,,,0,,,0.5267758369445801,0.48846644163131714,0.48979803919792175,0.5048094987869263,0.4818311035633087,0.006879616528749466,0.004226474557071924,0.0046687619760632515,0.004440002609044313,0.0037458371371030807,0.5171205401420593,0.49357736110687256,0.48960453271865845,0.5033825039863586,0.48628732562065125,,,,,,,,,,,,,,,,,,,,
backward,100,train,0,0.000139968,5,,,,,,,,,,,,0,0.00924911186806105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
