event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,100,train,0,0.00023328,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40697237849235535, 0.20248106122016907, 0.19244013726711273]",,,,0,,,0.4069722294807434,0.20248116552829742,0.19244006276130676,0.0,0.0,0.0,0.40697237849235535,0.20248106122016907,0.19244013726711273,,,,,,,,,,,,
forward,100,train,1,0.00023328,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41371259093284607, 0.19631069898605347, 0.2005256712436676]",,,,0,,,0.41371262073516846,0.19631065428256989,0.2005256712436676,0.0,0.0,0.0,0.41371259093284607,0.19631069898605347,0.2005256712436676,,,,,,,,,,,,
backward,100,train,0,0.00023328,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.00023328,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.00023328,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4070259630680084, 0.20248626172542572, 0.19245502352714539]",,,,0,,,0.40702611207962036,0.20248614251613617,0.19245494902133942,0.0,0.0,0.0,0.4070259630680084,0.20248626172542572,0.19245502352714539,0.3665333092212677,0.28348490595817566,0.9916024804115295,0.7711834907531738,0.628935694694519,0.08132386952638626,0.9403809309005737,0.8131197690963745,0.4948965311050415,0.06310917437076569,0.946740448474884,0.6019923090934753
forward,100,val,1,0.00023328,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41376471519470215, 0.19632062315940857, 0.20056107640266418]",,,,0,,,0.4137648642063141,0.196320578455925,0.20056112110614777,0.0,0.0,0.0,0.41376471519470215,0.19632062315940857,0.20056107640266418,0.7802567481994629,0.17290504276752472,0.8708435297012329,0.8736522197723389,0.6757183074951172,0.08225319534540176,0.7361685037612915,0.8379678726196289,0.6846277713775635,0.05688266456127167,0.6773092746734619,0.7390183210372925
forward,100,test,0,0.00023328,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4070259630680084, 0.20248626172542572, 0.19245502352714539]",,,,0,,,0.40702611207962036,0.20248614251613617,0.19245494902133942,0.0,0.0,0.0,0.4070259630680084,0.20248626172542572,0.19245502352714539,0.3665333092212677,0.28348490595817566,0.9916024804115295,0.7711834907531738,0.628935694694519,0.08132386952638626,0.9403809309005737,0.8131197690963745,0.4948965311050415,0.06310917437076569,0.9467403292655945,0.6019923090934753
forward,100,test,1,0.00023328,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41376471519470215, 0.19632062315940857, 0.20056107640266418]",,,,0,,,0.4137648642063141,0.196320578455925,0.20056112110614777,0.0,0.0,0.0,0.41376471519470215,0.19632062315940857,0.20056107640266418,0.7802567481994629,0.17290502786636353,0.8708435297012329,0.8736522197723389,0.6757183074951172,0.08225319534540176,0.7361684441566467,0.8379678130149841,0.6846277117729187,0.056882668286561966,0.6773092746734619,0.7390183210372925
forward,150,train,0,1.8139852799999997e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4082312285900116, 0.2026858925819397, 0.19274675846099854]",,,,0,,,0.40823107957839966,0.2026859074831009,0.19274672865867615,0.0,0.0,0.0,0.4082312285900116,0.2026858925819397,0.19274675846099854,,,,,,,,,,,,
forward,150,train,1,1.8139852799999997e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4148852527141571, 0.1966979056596756, 0.20129595696926117]",,,,0,,,0.4148852229118347,0.1966978758573532,0.2012958824634552,0.0,0.0,0.0,0.4148852527141571,0.1966979056596756,0.20129595696926117,,,,,,,,,,,,
backward,150,train,0,1.8139852799999997e-05,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
backward,150,train,1,1.8139852799999997e-05,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,1.8139852799999997e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4082360863685608, 0.20268671214580536, 0.19274865090847015]",,,,0,,,0.40823617577552795,0.20268669724464417,0.19274862110614777,0.0,0.0,0.0,0.4082360863685608,0.20268671214580536,0.19274865090847015,0.3716065585613251,0.28224194049835205,0.9916167855262756,0.7716254591941833,0.630010187625885,0.08084690570831299,0.9360811710357666,0.8129457235336304,0.4980863034725189,0.06286107748746872,0.9464117288589478,0.603321373462677
forward,150,val,1,1.8139852799999997e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41488975286483765, 0.19670060276985168, 0.20129916071891785]",,,,0,,,0.4148896634578705,0.19670063257217407,0.20129911601543427,0.0,0.0,0.0,0.41488975286483765,0.19670060276985168,0.20129916071891785,0.7774908542633057,0.17127789556980133,0.8709832429885864,0.8763144016265869,0.6663679480552673,0.08347465842962265,0.7623380422592163,0.8343164324760437,0.6756429076194763,0.05757544934749603,0.6998345255851746,0.7316122055053711
forward,150,test,0,1.8139852799999997e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4082360863685608, 0.20268671214580536, 0.19274865090847015]",,,,0,,,0.40823617577552795,0.20268669724464417,0.19274862110614777,0.0,0.0,0.0,0.4082360863685608,0.20268671214580536,0.19274865090847015,0.3716065585613251,0.28224194049835205,0.9916167855262756,0.7716254591941833,0.630010187625885,0.08084690570831299,0.9360811710357666,0.8129456639289856,0.4980863034725189,0.06286107748746872,0.9464117288589478,0.603321373462677
forward,150,test,1,1.8139852799999997e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41488975286483765, 0.19670060276985168, 0.20129916071891785]",,,,0,,,0.4148896634578705,0.19670063257217407,0.20129911601543427,0.0,0.0,0.0,0.41488975286483765,0.19670060276985168,0.20129916071891785,0.7774908542633057,0.17127789556980133,0.8709832429885864,0.8763144016265869,0.6663679480552673,0.08347465842962265,0.7623381018638611,0.8343163728713989,0.6756429076194763,0.05757544934749603,0.6998345255851746,0.7316122055053711
