epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
150,val,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41488975286483765, 0.19670060276985168, 0.20129916071891785]",0.4148896634578705,0.196700632572174,0.2012991160154342,0.0,0.0,0.0,0.4148897528648376,0.1967006027698516,0.2012991607189178
150,test,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4082360863685608, 0.20268671214580536, 0.19274865090847015]",0.4082361757755279,0.2026866972446441,0.1927486211061477,0.0,0.0,0.0,0.4082360863685608,0.2026867121458053,0.1927486509084701
150,test,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41488975286483765, 0.19670060276985168, 0.20129916071891785]",0.4148896634578705,0.196700632572174,0.2012991160154342,0.0,0.0,0.0,0.4148897528648376,0.1967006027698516,0.2012991607189178
200,train,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40838098526000977, 0.20271143317222595, 0.19279809296131134]",0.4083807170391083,0.2027114182710647,0.1927980631589889,0.0,0.0,0.0,0.4083809852600097,0.2027114331722259,0.1927980929613113
200,train,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4150228500366211, 0.19679175317287445, 0.20138715207576752]",0.4150229692459106,0.1967916786670684,0.2013870924711227,0.0,0.0,0.0,0.4150228500366211,0.1967917531728744,0.2013871520757675
200,val,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40838345885276794, 0.20271222293376923, 0.1927986443042755]",0.4083835184574127,0.202712133526802,0.1927986294031143,0.0,0.0,0.0,0.4083834588527679,0.2027122229337692,0.1927986443042755
200,val,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4150253236293793, 0.19679339230060577, 0.20138797163963318]",0.4150255024433136,0.1967934668064117,0.2013879567384719,0.0,0.0,0.0,0.4150253236293793,0.1967933923006057,0.2013879716396331
200,test,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40838345885276794, 0.20271222293376923, 0.1927986443042755]",0.4083835184574127,0.202712133526802,0.1927986294031143,0.0,0.0,0.0,0.4083834588527679,0.2027122229337692,0.1927986443042755
200,test,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4150253236293793, 0.19679339230060577, 0.20138797163963318]",0.4150255024433136,0.1967934668064117,0.2013879567384719,0.0,0.0,0.0,0.4150253236293793,0.1967933923006057,0.2013879716396331
250,train,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40849047899246216, 0.20273903012275696, 0.19284577667713165]",0.4084904491901397,0.2027390599250793,0.1928457617759704,0.0,0.0,0.0,0.4084904789924621,0.2027390301227569,0.1928457766771316
250,train,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41514715552330017, 0.19684875011444092, 0.2014397382736206]",0.4151471257209778,0.1968488097190857,0.2014398127794265,0.0,0.0,0.0,0.4151471555233001,0.1968487501144409,0.2014397382736206
250,val,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40849268436431885, 0.2027393877506256, 0.19284668564796448]",0.4084928333759308,0.2027393728494644,0.1928466856479644,0.0,0.0,0.0,0.4084926843643188,0.2027393877506256,0.1928466856479644
250,val,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41514939069747925, 0.19685006141662598, 0.20144104957580566]",0.4151495397090912,0.1968499273061752,0.2014409154653549,0.0,0.0,0.0,0.4151493906974792,0.1968500614166259,0.2014410495758056
250,test,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40849268436431885, 0.2027393877506256, 0.19284668564796448]",0.4084928333759308,0.2027393728494644,0.1928466856479644,0.0,0.0,0.0,0.4084926843643188,0.2027393877506256,0.1928466856479644
250,test,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41514939069747925, 0.19685006141662598, 0.20144104957580566]",0.4151495397090912,0.1968499273061752,0.2014409154653549,0.0,0.0,0.0,0.4151493906974792,0.1968500614166259,0.2014410495758056
