number,value,state,params_act,params_alpha,params_attn_dropout,params_branch_norm,params_dropout,params_heads,params_hidden_channels,params_hop_scalar_profile,params_lr,params_max_hops,params_norm,params_num_edges,params_num_layers,params_root_scalar_init,params_v7_input_skip,params_v7_num_banks,params_weight_decay,user_attrs_best_epoch,user_attrs_final_test_metric,user_attrs_run_dir
22,0.812,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.818,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_022\seed_0\run_0
23,0.81,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.818,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_023\seed_0\run_0
24,0.812,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.816,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_024\seed_0\run_0
25,0.81,COMPLETE,relu,1.0,0.45,none,0.6,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.0015,63,0.806,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_025\seed_0\run_0
26,0.774,COMPLETE,relu,1.0,0.6,none,0.55,2,96,balanced,0.005,2,layernorm,30000,2,0.95,False,2,0.003,27,0.771,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_026\seed_0\run_0
27,0.806,COMPLETE,relu,1.0,0.5,none,0.65,2,48,balanced,0.004,2,layernorm,40000,2,0.95,False,2,0.003,71,0.808,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_027\seed_0\run_0
28,0.818,COMPLETE,elu,1.0,0.55,none,0.7,8,32,one_hop_strong,0.003,2,layernorm,15000,2,0.9,False,2,0.003,70,0.811,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_028\seed_0\run_0
29,0.796,COMPLETE,elu,1.0,0.6,none,0.6,8,32,one_hop_strong,0.003,2,layernorm,15000,2,0.9,False,2,0.001,55,0.808,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_029\seed_0\run_0
30,0.822,COMPLETE,elu,1.0,0.45,none,0.7,8,32,one_hop_strong,0.002,2,layernorm,15000,2,0.9,False,2,0.002,71,0.814,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_030\seed_0\run_0
31,0.822,COMPLETE,elu,1.0,0.45,none,0.7,8,32,one_hop_strong,0.002,2,layernorm,15000,2,0.9,False,2,0.002,71,0.813,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_031\seed_0\run_0
