event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,150,test,1,1.0883911679999998e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,200,train,0,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,200,train,1,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
backward,200,train,0,1e-05,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
backward,200,train,1,1e-05,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
forward,200,val,0,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,200,val,1,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,200,test,0,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,200,test,1,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,250,train,0,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,250,train,1,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
backward,250,train,0,1e-05,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
backward,250,train,1,1e-05,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
forward,250,val,0,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,250,val,1,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,250,test,0,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,250,test,1,1e-05,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
