epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
150,train,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.656651496887207,0.3433484733104706,,0.0704832896590232,0.0704832896590232
150,val,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7602583765983582,0.2397415488958358,,0.1867648512125015,0.1867648661136627
150,val,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.3686524629592895,0.6313475370407104,,0.0376534983515739,0.0376535020768642
150,val,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6828360557556152,0.3171639144420624,,0.033687587827444,0.0336875841021537
150,test,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7602583765983582,0.2397415488958358,,0.1867648512125015,0.1867648661136627
150,test,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.3686524629592895,0.6313475370407104,,0.0376534983515739,0.0376535020768642
150,test,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6828360557556152,0.3171639144420624,,0.033687587827444,0.0336875841021537
200,train,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7534011006355286,0.246598944067955,,0.188621312379837,0.1886213272809982
200,train,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.3683562874794006,0.6316437125205994,,0.074357695877552,0.074357695877552
200,train,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.654254138469696,0.3457458615303039,,0.0727368518710136,0.0727368518710136
200,val,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7533690929412842,0.246630847454071,,0.1886300295591354,0.1886300593614578
200,val,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.366779088973999,0.633220911026001,,0.0387135818600654,0.0387135818600654
200,val,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6766780614852905,0.3233219087123871,,0.0328326784074306,0.0328326784074306
