epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,hop_scalar_hop_0,hop_scalar_hop_1
150,train,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.6786889433860779, 0.5000038743019104]",0.9690150618553162,0.0,0.0326719172298908,0.0,0.6786889433860779,0.5000038743019104
150,val,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.7295334339141846, 0.4999989867210388]",0.7910017371177673,0.0,0.0130215687677264,0.0,0.7295334339141846,0.4999989867210388
150,val,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.6794205904006958, 0.5000033378601074]",0.9795786142349244,0.0,0.0032627086620777,0.0,0.6794205904006958,0.5000033378601074
150,test,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.7295334339141846, 0.4999989867210388]",0.7910017371177673,0.0,0.0130215687677264,0.0,0.7295334339141846,0.4999989867210388
150,test,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.6794205904006958, 0.5000033378601074]",0.9795786142349244,0.0,0.0032627088949084,0.0,0.6794205904006958,0.5000033378601074
200,train,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.7581493854522705, 0.5000000596046448]",0.8144074082374573,0.0,0.0251207519322633,0.0,0.7581493854522705,0.5000000596046448
200,train,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.7013365626335144, 0.49999988079071045]",0.9718350768089294,0.0,0.0351550094783306,0.0,0.7013365626335144,0.4999998807907104
200,val,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.758452296257019, 0.5000000596046448]",0.815764307975769,0.0,0.0127451559528708,0.0,0.758452296257019,0.5000000596046448
200,val,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.7015775442123413, 0.49999988079071045]",0.981961190700531,0.0,0.0030657635070383,0.0,0.7015775442123413,0.4999998807907104
200,test,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.758452296257019, 0.5000000596046448]",0.815764307975769,0.0,0.0127451559528708,0.0,0.758452296257019,0.5000000596046448
200,test,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.7015775442123413, 0.49999988079071045]",0.981961190700531,0.0,0.0030657635070383,0.0,0.7015775442123413,0.4999998807907104
250,train,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.7717939019203186, 0.5]",0.8252570629119873,0.0,0.0243203826248645,0.0,0.7717939019203186,0.5
250,train,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.7124766707420349, 0.5]",0.9737860560417176,0.0,0.0348759889602661,0.0,0.7124766707420349,0.5
250,val,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.7719651460647583, 0.5]",0.8265581130981445,0.0,0.0124801266938447,0.0,0.7719651460647583,0.5
250,val,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.7126209735870361, 0.5]",0.9834601879119872,0.0,0.0027415354270488,0.0,0.7126209735870361,0.5
250,test,0,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 64]","[false, true]","[0.7719651460647583, 0.5]",0.8265581130981445,0.0,0.0124801266938447,0.0,0.7719651460647583,0.5
250,test,1,2,,,,"[2708, 2]",2.0,"[""hop_1"", ""hop_2""]","[2708, 2]",,"[2708, 2, 7]","[false, true]","[0.7126209735870361, 0.5]",0.9834601879119872,0.0,0.0027415354270488,0.0,0.7126209735870361,0.5
