epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
0,train,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,val,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.334235817193985,0.6657641530036926,,0.1061634272336959,0.1061634272336959
0,val,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.513936460018158,0.4860634803771972,,0.0049719936214387,0.0049719936214387
0,val,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.4960611462593078,0.5039387941360474,,0.000440152012743,0.0004401510523166
0,test,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.334235817193985,0.6657641530036926,,0.1061634272336959,0.1061634272336959
0,test,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.513936460018158,0.4860634803771972,,0.0049719936214387,0.0049719936214387
0,test,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.4960611462593078,0.5039387941360474,,0.0004401519545353,0.0004401510814204
50,train,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.6405087113380432,0.3594913184642792,,0.143097385764122,0.1430974006652832
50,train,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5407694578170776,0.4592305123806,,0.2484742701053619,0.2484742701053619
50,train,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.6154978275299072,0.3845021426677704,,0.0662756785750389,0.0662756785750389
50,val,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.6082757711410522,0.391724169254303,,0.1491388827562332,0.1491388976573944
50,val,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5640543699264526,0.4359456300735473,,0.2743330597877502,0.2743330597877502
50,val,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.6487542986869812,0.351245641708374,,0.0684513077139854,0.0684513077139854
50,test,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.6082757711410522,0.391724169254303,,0.1491388827562332,0.1491388976573944
50,test,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5640543699264526,0.4359456300735473,,0.2743330597877502,0.2743330597877502
50,test,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.6487542986869812,0.351245641708374,,0.0684513077139854,0.0684513077139854
