event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5035294890403748, 0.5012895464897156, 0.5000591278076172, 0.5057545900344849]",,,,0,,,0.5097863674163818,0.5201804637908936,0.4908362030982971,0.5029193758964539,0.047140516340732574,0.04934312775731087,0.04406486079096794,0.04718266427516937,0.5035294890403748,0.5012895464897156,0.5000591278076172,0.5057545900344849,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.138394603558474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.50227952003479, 0.5000395178794861, 0.4988090693950653, 0.5070043206214905]",,,,0,,,0.4910837709903717,0.4478986859321594,0.4677976965904236,0.4919438064098358,0.03375982493162155,0.040916819125413895,0.03174249455332756,0.030328471213579178,0.50227952003479,0.5000395178794861,0.4988090693950653,0.5070043206214905,,,,,0.989790678024292,nan,nan,nan,0.9930576086044312,nan,nan,nan,0.9938330054283142,nan,nan,nan
forward,0,test,0,0.005,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.50227952003479, 0.5000395178794861, 0.4988090693950653, 0.5070043206214905]",,,,0,,,0.4910837709903717,0.4478986859321594,0.4677976965904236,0.4919438064098358,0.03375982493162155,0.040916819125413895,0.03174249455332756,0.030328471213579178,0.50227952003479,0.5000395178794861,0.4988090693950653,0.5070043206214905,,,,,0.989790678024292,nan,nan,nan,0.9930574893951416,nan,nan,nan,0.9938330054283142,nan,nan,nan
forward,50,train,0,0.00108,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.525328516960144, 0.5146544575691223, 0.5020240545272827, 0.5106799006462097]",,,,0,,,0.9779075980186462,0.6894587874412537,0.7428125739097595,0.5990372896194458,0.04439544305205345,0.20898081362247467,0.13773462176322937,0.19975148141384125,0.525328516960144,0.5146544575691223,0.5020240545272827,0.5106799006462097,,,,,,,,,,,,,,,,
backward,50,train,0,0.00108,4,,,,,,,,,,,,0,0.00880321283662583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00108,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5253561735153198, 0.5146697163581848, 0.5020198822021484, 0.5106926560401917]",,,,0,,,0.9807546138763428,0.6924818754196167,0.7448142170906067,0.5890801548957825,0.03431665152311325,0.19342593848705292,0.129253551363945,0.19108767807483673,0.5253561735153198,0.5146697163581848,0.5020198822021484,0.5106926560401917,,,,,0.921101450920105,0.08022637665271759,0.8496172428131104,0.966262936592102,0.9423441886901855,0.017309417948126793,0.7884443402290344,0.9401726126670837,0.829127311706543,0.020771265029907227,0.9249297976493835,0.7699572443962097
forward,50,test,0,0.00108,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5253561735153198, 0.5146697163581848, 0.5020198822021484, 0.5106926560401917]",,,,0,,,0.9807546138763428,0.6924818754196167,0.7448142170906067,0.5890801548957825,0.03431665152311325,0.19342593848705292,0.129253551363945,0.19108767807483673,0.5253561735153198,0.5146697163581848,0.5020198822021484,0.5106926560401917,,,,,0.921101450920105,0.08022637665271759,0.8496172428131104,0.966262936592102,0.9423441886901855,0.017309417948126793,0.7884443402290344,0.9401726126670837,0.829127311706543,0.020771265029907227,0.9249297976493835,0.7699572443962097
forward,100,train,0,8.39808e-05,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5257900953292847, 0.5148047208786011, 0.5024198293685913, 0.5104711055755615]",,,,0,,,0.9784005284309387,0.6882585287094116,0.7443931102752686,0.59007328748703,0.04037823900580406,0.204126238822937,0.13561183214187622,0.20035316050052643,0.5257900953292847,0.5148047208786011,0.5024198293685913,0.5104711055755615,,,,,,,,,,,,,,,,
backward,100,train,0,8.39808e-05,4,,,,,,,,,,,,0,0.041945358952841835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,8.39808e-05,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.525791585445404, 0.514805793762207, 0.5024212002754211, 0.5104743838310242]",,,,0,,,0.9812631607055664,0.6916719079017639,0.7453667521476746,0.5914561152458191,0.03361640125513077,0.19321642816066742,0.12901900708675385,0.19087651371955872,0.525791585445404,0.514805793762207,0.5024212002754211,0.5104743838310242,,,,,0.9263589978218079,0.07748795300722122,0.8409486413002014,0.9682455658912659,0.9457119107246399,0.01677958108484745,0.7867392897605896,0.9429360032081604,0.8373713493347168,0.02014804258942604,0.9213099479675293,0.7794007658958435
forward,100,test,0,8.39808e-05,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.525791585445404, 0.514805793762207, 0.5024212002754211, 0.5104743838310242]",,,,0,,,0.9812631607055664,0.6916719079017639,0.7453667521476746,0.5914561152458191,0.03361640125513077,0.19321642816066742,0.12901900708675385,0.19087651371955872,0.525791585445404,0.514805793762207,0.5024212002754211,0.5104743838310242,,,,,0.9263589978218079,0.07748795300722122,0.8409486413002014,0.9682455658912659,0.9457119107246399,0.01677958108484745,0.7867392897605896,0.9429360032081604,0.8373713493347168,0.02014804258942604,0.9213099479675293,0.7794008255004883
forward,150,train,0,1.0883911679999998e-05,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5258326530456543, 0.5148901343345642, 0.5024471879005432, 0.5106001496315002]",,,,0,,,0.9779300689697266,0.6908429265022278,0.741165816783905,0.5919317603111267,0.037163715809583664,0.20522896945476532,0.13928936421871185,0.20022693276405334,0.5258326530456543,0.5148901343345642,0.5024471879005432,0.5106001496315002,,,,,,,,,,,,,,,,
backward,150,train,0,1.0883911679999998e-05,4,,,,,,,,,,,,0,0.5695097673078366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,1.0883911679999998e-05,4,3,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.525833010673523, 0.5148901343345642, 0.5024480223655701, 0.5105983018875122]",,,,0,,,0.98129802942276,0.6930710077285767,0.7449445128440857,0.5936704277992249,0.03355724364519119,0.19283945858478546,0.12897634506225586,0.19067128002643585,0.525833010673523,0.5148901343345642,0.5024480223655701,0.5105983018875122,,,,,0.9270089268684387,0.07716069370508194,0.8402731418609619,0.9685013294219971,0.946103036403656,0.01670631766319275,0.7868897914886475,0.9432182312011719,0.8380129337310791,0.020098291337490082,0.9210904836654663,0.7800605893135071
