epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
100,test,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5417707562446594,0.2290804982185363,0.2291488349437713,0.0,0.0,0.0
150,train,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5414818525314331,0.229263350367546,0.2292548716068267,8.443264221114077e-08,4.243965534556082e-08,4.612355652966471e-08
150,train,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5415076017379761,0.229255199432373,0.2292372584342956,0.0,0.0,0.0
150,train,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5414861440658569,0.2292289286851883,0.2292848527431488,0.0,0.0,0.0
150,val,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5414794087409973,0.2292645275592804,0.2292560786008834,9.532881506402192e-08,4.3798113580351135e-08,4.2029494551343305e-08
150,val,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5415050983428955,0.2292563766241073,0.2292384803295135,0.0,0.0,0.0
150,val,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5414838194847107,0.2292301803827285,0.2292859852313995,0.0,0.0,0.0
150,test,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5414794087409973,0.2292645275592804,0.2292560786008834,9.532881506402192e-08,4.3798113580351135e-08,4.2029494551343305e-08
150,test,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5415050983428955,0.2292563766241073,0.2292384803295135,0.0,0.0,0.0
150,test,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5414838194847107,0.2292301803827285,0.2292859852313995,0.0,0.0,0.0
200,train,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5413618683815002,0.2293226569890976,0.2293155044317245,9.139594681073505e-08,2.062805393165945e-08,2.6526489449452132e-08
200,train,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5413860082626343,0.229314774274826,0.2292992323637008,0.0,0.0,0.0
200,train,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5413678884506226,0.2292906641960144,0.2293414324522018,0.0,0.0,0.0
200,val,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5413594841957092,0.2293238341808319,0.2293167114257812,3.957417149536013e-08,2.2156026346920044e-08,2.299625556645424e-08
200,val,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5413836240768433,0.2293159514665603,0.2293004691600799,0.0,0.0,0.0
200,val,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5413655638694763,0.2292919158935547,0.2293425351381302,0.0,0.0,0.0
200,test,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5413594841957092,0.2293238341808319,0.2293167114257812,3.957417149536013e-08,2.2156026346920044e-08,2.299625556645424e-08
200,test,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5413836240768433,0.2293159514665603,0.2293004691600799,0.0,0.0,0.0
200,test,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5413655638694763,0.2292919158935547,0.2293425351381302,0.0,0.0,0.0
250,train,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5412410497665405,0.2293823808431625,0.2293765097856521,9.988545457417787e-08,2.062598269958471e-08,1.8472023910476313e-08
250,train,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5412637591362,0.2293746769428253,0.2293616831302642,0.0,0.0,0.0
250,train,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5412489771842957,0.2293528765439987,0.2293981909751892,0.0,0.0,0.0
250,val,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5412387251853943,0.2293835878372192,0.2293777465820312,4.9942823210358256e-08,1.3995067327243761e-08,1.7829981047157162e-08
250,val,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5412613153457642,0.229375883936882,0.2293629348278045,0.0,0.0,0.0
250,val,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5412466526031494,0.2293540835380554,0.2293992936611175,0.0,0.0,0.0
250,test,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5412387251853943,0.2293835878372192,0.2293777465820312,4.9942823210358256e-08,1.3995067327243761e-08,1.7829981047157162e-08
250,test,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5412613153457642,0.229375883936882,0.2293629348278045,0.0,0.0,0.0
250,test,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5412466526031494,0.2293540835380554,0.2293992936611175,0.0,0.0,0.0
