epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8999999761581421, 0.800000011920929, 0.800000011920929]",0.9000000357627869,0.7999999523162842,0.7999999523162842,0.0,0.0,0.0,0.8999999761581421,0.800000011920929,0.800000011920929
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8997296690940857, 0.7995195388793945, 0.7995195388793945]",0.8997296094894409,0.7995195388793945,0.7995195388793945,0.0,0.0,0.0,0.8997296690940857,0.7995195388793945,0.7995195388793945
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8997296690940857, 0.7995195388793945, 0.7995195388793945]",0.8997296094894409,0.7995195388793945,0.7995195388793945,0.0,0.0,0.0,0.8997296690940857,0.7995195388793945,0.7995195388793945
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9083654880523682, 0.8135738372802734, 0.814475953578949]",0.9083653688430786,0.8135738968849182,0.8144758343696594,0.0,0.0,0.0,0.9083654880523682,0.8135738372802734,0.814475953578949
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9084257483482361, 0.8136714696884155, 0.8145909309387207]",0.9084258079528807,0.8136714696884155,0.8145910501480103,0.0,0.0,0.0,0.908425748348236,0.8136714696884155,0.8145909309387207
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9084257483482361, 0.8136714696884155, 0.8145909309387207]",0.9084258079528807,0.8136714696884155,0.8145910501480103,0.0,0.0,0.0,0.908425748348236,0.8136714696884155,0.8145909309387207
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9090763926506042, 0.8147264719009399, 0.8158268928527832]",0.9090763330459596,0.8147264719009399,0.8158268928527832,0.0,0.0,0.0,0.9090763926506042,0.8147264719009399,0.8158268928527832
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9090791940689087, 0.8147307634353638, 0.8158331513404846]",0.9090792536735536,0.8147307634353638,0.8158330917358398,0.0,0.0,0.0,0.9090791940689088,0.8147307634353638,0.8158331513404846
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9090791940689087, 0.8147307634353638, 0.8158331513404846]",0.9090792536735536,0.8147307634353638,0.8158330917358398,0.0,0.0,0.0,0.9090791940689088,0.8147307634353638,0.8158331513404846
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091335535049438, 0.8148202896118164, 0.8159540891647339]",0.9091334939002992,0.8148202300071716,0.8159540295600891,0.0,0.0,0.0,0.9091335535049438,0.8148202896118164,0.8159540891647339
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091338515281677, 0.8148205876350403, 0.8159545063972473]",0.909133791923523,0.8148205876350403,0.8159544467926025,0.0,0.0,0.0,0.9091338515281676,0.8148205876350403,0.8159545063972473
150,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091338515281677, 0.8148205876350403, 0.8159545063972473]",0.909133791923523,0.8148205876350403,0.8159544467926025,0.0,0.0,0.0,0.9091338515281676,0.8148205876350403,0.8159545063972473
200,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091465473175049, 0.8148394823074341, 0.8159767389297485]",0.90914648771286,0.8148395419120789,0.815976619720459,0.0,0.0,0.0,0.9091465473175048,0.8148394823074341,0.8159767389297485
200,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091468453407288, 0.8148398995399475, 0.8159772753715515]",0.9091468453407288,0.8148398995399475,0.815977156162262,0.0,0.0,0.0,0.9091468453407288,0.8148398995399475,0.8159772753715515
200,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091468453407288, 0.8148398995399475, 0.8159772753715515]",0.9091468453407288,0.8148398995399475,0.815977156162262,0.0,0.0,0.0,0.9091468453407288,0.8148398995399475,0.8159772753715515
250,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9091594815254211, 0.8148624300956726, 0.8160032629966736]",0.9091594815254213,0.8148624300956726,0.8160032629966736,0.0,0.0,0.0,0.9091594815254213,0.8148624300956726,0.8160032629966736
250,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.909159779548645, 0.8148629069328308, 0.8160039782524109]",0.9091596603393556,0.8148629665374756,0.8160039782524109,0.0,0.0,0.0,0.909159779548645,0.8148629069328308,0.8160039782524109
250,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.909159779548645, 0.8148629069328308, 0.8160039782524109]",0.9091596603393556,0.8148629665374756,0.8160039782524109,0.0,0.0,0.0,0.909159779548645,0.8148629069328308,0.8160039782524109
