epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.949999988079071, 0.699999988079071, 0.44999998807907104]",0.9500004053115844,0.9500004053115844,0.7000002861022949,0.4500000178813934,0.0,0.0,0.0,0.0,0.949999988079071,0.949999988079071,0.699999988079071,0.449999988079071
0,val,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.6989489793777466, 0.44876280426979065]",0.949761688709259,0.949761688709259,0.6989492774009705,0.4487628638744354,0.0,0.0,0.0,0.0,0.949761927127838,0.949761927127838,0.6989489793777466,0.4487628042697906
0,test,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.6989489793777466, 0.44876280426979065]",0.949761688709259,0.949761688709259,0.6989492774009705,0.4487628638744354,0.0,0.0,0.0,0.0,0.949761927127838,0.949761927127838,0.6989489793777466,0.4487628042697906
50,train,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9493703842163086, 0.9390219449996948, 0.6665648221969604, 0.4108743667602539]",0.9493709802627563,0.9390220046043396,0.6665648818016052,0.4108742475509643,0.0,0.0,0.0,0.0,0.9493703842163086,0.9390219449996948,0.6665648221969604,0.4108743667602539
50,val,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9492954611778259, 0.9389327168464661, 0.6663678884506226, 0.4107224941253662]",0.9492951035499572,0.9389329552650452,0.6663681268692017,0.4107226431369781,0.0,0.0,0.0,0.0,0.949295461177826,0.938932716846466,0.6663678884506226,0.4107224941253662
50,test,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9492954611778259, 0.9389327168464661, 0.6663678884506226, 0.4107224941253662]",0.9492951035499572,0.9389329552650452,0.6663681268692017,0.4107226431369781,0.0,0.0,0.0,0.0,0.949295461177826,0.938932716846466,0.6663678884506226,0.4107224941253662
100,train,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9471988677978516, 0.9373013377189636, 0.6634312868118286, 0.40934526920318604]",0.9471983909606934,0.937301516532898,0.6634312272071838,0.4093454480171203,0.0,0.0,0.0,0.0,0.9471988677978516,0.9373013377189636,0.6634312868118286,0.409345269203186
100,val,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9471843242645264, 0.9372907876968384, 0.6634300947189331, 0.40935003757476807]",0.9471843838691713,0.9372905492782592,0.6634297370910645,0.4093500673770904,0.0,0.0,0.0,0.0,0.9471843242645264,0.9372907876968384,0.6634300947189331,0.409350037574768
100,test,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9471843242645264, 0.9372907876968384, 0.6634300947189331, 0.40935003757476807]",0.9471843838691713,0.9372905492782592,0.6634297370910645,0.4093500673770904,0.0,0.0,0.0,0.0,0.9471843242645264,0.9372907876968384,0.6634300947189331,0.409350037574768
150,train,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9469846487045288, 0.9371330738067627, 0.6632469296455383, 0.40943822264671326]",0.9469845294952391,0.9371334314346312,0.6632465720176697,0.409438282251358,0.0,0.0,0.0,0.0,0.9469846487045288,0.9371330738067628,0.6632469296455383,0.4094382226467132
150,val,0,4,,,,"[183, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9469836950302124, 0.9371322393417358, 0.6632459759712219, 0.40943846106529236]",0.9469834566116332,0.9371324181556702,0.6632460951805115,0.4094384014606476,0.0,0.0,0.0,0.0,0.9469836950302124,0.9371322393417358,0.6632459759712219,0.4094384610652923
